,Price,Display Size,Hard Disk Size,Processor Count,Processor (CPU) Speed,Item Weight
"This item  Acer Aspire 5 Slim Laptop, 15.6 inches Full HD IPS Display, AMD Ryzen 3 3200U, Vega 3 Graphics, 4GB DDR4, 128GB SSD, Backlit Keyboard, Windows 10 in S Mode, A515-43-R19L  #1 Best Seller",308.9830898,15.6,128,2,3.5,3.97
"This item  Lenovo Chromebook S330 Laptop, 14-Inch FHD (1920 x 1080) Display, MediaTek MT8173C Processor, 4GB LPDDR3, 64GB eMMC, Chrome OS, 81JW0000US, Business Black",219.9921999,14.0,64,4,2.1,3.3
"This item  Dell Inspiron 13 5000 2-in-1 - 13.3"" FHD Touch - 8th Gen Intel i5-8250U - 8GB Memory - 256GB SSD - Intel UHD Graphics 620 - Theoretical Gray - i5379-5893GRY-PUS",608.00608,13.3,256,2,3.4,3.56
"This item  Asus ZenBook 13 Ultra-Slim Laptop, 13.3"" Full HD Wideview, 8th Gen Intel Core I5-8265U, 8GB LPDDR3, 512GB PCIe SSD, Backlit KB, Fingerprint, Slate Gray, Windows 10, UX331FA-AS51",783.9978399,13.3,512,4,3.9,2.5
